id_jogo;data_jogo;adversario;local;Competicao;Fase;Rodada;apelido;cargo;cartoes_amarelos;cartoes_vermelhos;id_ogol_comissao;nome_completo;data_extracao;url_jogo
62695632;20/09/2026;Jaguaré U17;(C);Copa ES U17;1;2;Asamoah;Técnico;0;0;96620;Marcos Vinicius Vieira Lima Furguilin;2026-09-25 12:13:49;https://www.ogol.com.br/jogo/2026-09-20-linhares-fc-jaguare/62695632/performance
62695632;20/09/2026;Jaguaré U17;(C);Copa ES U17;1;2;Karen;Assistente Técnico;0;0;96849;Karen Da Silva Loureiro;2026-09-25 12:13:49;https://www.ogol.com.br/jogo/2026-09-20-linhares-fc-jaguare/62695632/performance
62695632;20/09/2026;Jaguaré U17;(C);Copa ES U17;1;2;Marya Eduarda;Fisioterapeuta;0;0;96846;Marya Eduarda Cabral De Carvalho Mello;2026-09-25 12:13:49;https://www.ogol.com.br/jogo/2026-09-20-linhares-fc-jaguare/62695632/performance
