id_jogo;data_jogo;adversario;local;Competicao;Fase;Rodada;jogador;posicao;minutos;gols;assistencias;cartoes_amarelos;cartoes_vermelhos;chutes;chutes_ao_gol;desarmes;interceptacoes;passes_certos;passes_chave;defesas;id_ogol_jogador;nome_completo;data_extracao;url_jogo
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Matheus Toribes;Goleiro;0;0;0;0;0;0;0;0;0;0;0;0;733867;Matheus Toribes Ferreira Souza;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Ruan Rios;Goleiro;102;0;0;0;0;0;0;0;0;0;0;0;737841;Ruan Amaral Rios;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Kaká;Zagueiro;102;0;0;0;0;0;0;0;0;0;0;0;807983;Karlos Henrique dos Reis Calavort;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Rayner;Zagueiro;102;0;0;0;0;0;0;0;0;0;0;0;1175696;Rayner Silva Gomes;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Júnior Espeto;Lateral Esquerdo;102;0;0;0;0;0;0;0;0;0;0;0;391818;Junior Espeto;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Gabriel Amorim;Volante;102;0;0;0;0;0;0;0;0;0;0;0;1542489;Gabriel Amorim de Aguiar;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Wesley;Meia Atacante;80;0;0;0;0;0;0;0;0;0;0;0;552238;Francisco Wesley da Silva Sousa;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Francisco Neto;Meia-Central;87;0;0;0;0;0;0;0;0;0;0;0;840156;Francisco de Assis Rapozo Neto;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Lucas Titol;Meia-Central;102;0;0;1;0;0;0;0;0;0;0;0;973784;Lucas Titol Lopes;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Borjão;Volante;73;0;0;0;1;0;0;0;0;0;0;0;481421;Virgílio Santos Borges;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;João Firmino;Volante;99;0;0;0;0;0;0;0;0;0;0;0;649473;João Pedro Firmino Oliveira;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Wendy;Centroavante;50;0;0;0;1;0;0;0;0;0;0;0;391833;Wenderson Silva Neves;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Clavis Neto;Lateral Direito;0;0;0;0;0;0;0;0;0;0;0;0;1724371;Clavis Severo Leão;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Davi Fornaciari;Zagueiro;0;0;0;0;0;0;0;0;0;0;0;0;2522494;Davi Fornaciari Lima;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Kayque Santos;Volante;3;0;0;0;0;0;0;0;0;0;0;0;3547000;Kayque Santos da Cunha;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Luander;Centroavante;18;0;0;0;0;0;0;0;0;0;0;0;973782;Luander da Silva Denerval;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Daniel Olmo;Centroavante;0;0;0;0;0;0;0;0;0;0;0;0;2530126;Daniel Olmo Morais Gonçalves;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Marcus Paulo;Ponta;15;0;0;0;0;0;0;0;0;0;0;0;855737;Marcus Paulo Sousa Oliveira;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Gabriel Jesus;Ponta Esquerda;0;0;0;0;0;0;0;0;0;0;0;0;3553860;Gabriel de Jesus Rodrigues;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Stuart;Ponta Direita;0;0;0;0;0;0;0;0;0;0;0;0;619320;Stuart Asafe Ferreira Alves;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
