id_jogo;data_jogo;adversario;local;Competicao;Fase;Rodada;apelido;cargo;cartoes_amarelos;cartoes_vermelhos;id_ogol_comissao;nome_completo;data_extracao;url_jogo
12650865;05/09/2026;Rive;(F);Capixaba Série B;SF;Ida;Yupi Silva;Treinador;1;0;39891;Jonair da Silva Ferreira;2026-09-07 17:38:41;https://www.ogol.com.br/jogo/2026-09-05-rive-linhares-fc/12650865/performance
12650865;05/09/2026;Rive;(F);Capixaba Série B;SF;Ida;Ricardo;Preparador Físico;0;0;96845;Ricardo da Silva Santos;2026-09-07 17:38:41;https://www.ogol.com.br/jogo/2026-09-05-rive-linhares-fc/12650865/performance
12650865;05/09/2026;Rive;(F);Capixaba Série B;SF;Ida;Karen;Auxiliar Técnica;0;0;96849;Karen da Silva Loureiro;2026-09-07 17:38:41;https://www.ogol.com.br/jogo/2026-09-05-rive-linhares-fc/12650865/performance
12650865;05/09/2026;Rive;(F);Capixaba Série B;SF;Ida;Asamoah;Preparador de Goleiros;0;0;96620;Marcos Vinicius Vieira Lima Furguilin;2026-09-07 17:38:41;https://www.ogol.com.br/jogo/2026-09-05-rive-linhares-fc/12650865/performance
12650865;05/09/2026;Rive;(F);Capixaba Série B;SF;Ida;Marya Eduarda;Massagista;0;0;96846;Marya Eduarda Cabral de Carvalho Mello;2026-09-07 17:38:41;https://www.ogol.com.br/jogo/2026-09-05-rive-linhares-fc/12650865/performance
