id_jogo;data_jogo;adversario;local;Competicao;Fase;Rodada;apelido;cargo;cartoes_amarelos;cartoes_vermelhos;id_ogol_comissao;nome_completo;data_extracao;url_jogo
12271160;08/08/2026;Audax São Mateus;(F);Capixaba Série B;1;6;Marya Eduarda;Massagista;0;0;96846;Marya Eduarda Cabral de Carvalho Mello;2026-08-10 17:02:06;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271165;14/08/2026;Doze FC;(C);Capixaba Série B;1;7;Ricardo;Preparador Físico;0;0;96845;Ricardo da Silva Santos;2026-08-17 14:03:34;https://www.ogol.com.br/jogo/2026-08-14-linhares-fc-doze/12271165/performance
12271165;14/08/2026;Doze FC;(C);Capixaba Série B;1;7;Karen;Auxiliar Técnica;0;0;96849;Karen da Silva Loureiro;2026-08-17 14:03:34;https://www.ogol.com.br/jogo/2026-08-14-linhares-fc-doze/12271165/performance
12271165;14/08/2026;Doze FC;(C);Capixaba Série B;1;7;Asamoah;Preparador de Goleiros;0;0;96620;Marcos Vinicius Vieira Lima Furguilin;2026-08-17 14:03:34;https://www.ogol.com.br/jogo/2026-08-14-linhares-fc-doze/12271165/performance
12271165;14/08/2026;Doze FC;(C);Capixaba Série B;1;7;Marya Eduarda;Massagista;0;0;96846;Marya Eduarda Cabral de Carvalho Mello;2026-08-17 14:03:34;https://www.ogol.com.br/jogo/2026-08-14-linhares-fc-doze/12271165/performance
12271173;26/08/2026;GEL;(C);Capixaba Série B;1;9;Yupi Silva;Treinador;0;0;39891;Jonair da Silva Ferreira;2026-08-27 17:00:42;https://www.ogol.com.br/jogo/2026-08-26-linhares-fc-gel/12271173/performance
12271173;26/08/2026;GEL;(C);Capixaba Série B;1;9;Ricardo;Preparador Físico;0;0;96845;Ricardo da Silva Santos;2026-08-27 17:00:42;https://www.ogol.com.br/jogo/2026-08-26-linhares-fc-gel/12271173/performance
12271173;26/08/2026;GEL;(C);Capixaba Série B;1;9;Karen;Auxiliar Técnica;0;0;96849;Karen da Silva Loureiro;2026-08-27 17:00:42;https://www.ogol.com.br/jogo/2026-08-26-linhares-fc-gel/12271173/performance
12271173;26/08/2026;GEL;(C);Capixaba Série B;1;9;Asamoah;Preparador de Goleiros;0;0;96620;Marcos Vinicius Vieira Lima Furguilin;2026-08-27 17:00:42;https://www.ogol.com.br/jogo/2026-08-26-linhares-fc-gel/12271173/performance
12271173;26/08/2026;GEL;(C);Capixaba Série B;1;9;Marya Eduarda;Massagista;0;0;96846;Marya Eduarda Cabral de Carvalho Mello;2026-08-27 17:00:42;https://www.ogol.com.br/jogo/2026-08-26-linhares-fc-gel/12271173/performance
