id_jogo;data;horario;adversario;time_casa;time_fora;local_jogo;status;estadio;endereco;cidade;competicao;fase;slug;url_completa
;19/09/2026;13:00;Jaguaré U17;Linhares U17;Jaguaré U17;CT Ninho da Coruja;AGENDADO;CT Ninho da Coruja;Rua, Av. Étore Pedroni - Três Barras, Linhares - ES, 29907-304;Linhares;Copa ES U17;1;;;
;26/09/2026;13:00;Palmeiras de Conceição da Barra U17;Palmeiras de Conceição da Barra U17;Linhares U17;Estádio Municipal Gastão Kock da Cunha;AGENDADO;Estádio Municipal Gastão Kock da Cunha;Conceição da Barra, ES, 29960-000;Conceição da Barra;Copa ES U17;1;;;
;03/10/2026;13:00;Audax São Mateus U17;Linhares U17;Audax São Mateus U17;CT Ninho da Coruja;AGENDADO;CT Ninho da Coruja;Rua, Av. Étore Pedroni - Três Barras, Linhares - ES, 29907-304;Linhares;Copa ES U17;1;;;
;03/10/2026;13:00;Ibiraçu U17;Ibiraçu U17;Linhares U17;Estádio Marcos José Campagnaro;AGENDADO;Estádio Marcos José Campagnaro;Profa. Ericina, Ibiraçu - ES, 29670-000;Ibiraçu;Copa ES U17;1;;;
