id_jogo;data;horario;adversario;time_casa;time_fora;local_jogo;status;estadio;endereco;cidade;competicao;fase;slug;url_completa
;19/09/2026;15:00;Jaguaré U15;Linhares U15;Jaguaré U15;CT Ninho da Coruja;AGENDADO;CT Ninho da Coruja;Rua, Av. Étore Pedroni - Três Barras, Linhares - ES, 29907-304;Linhares;Copa ES U15;1;;;
;26/09/2026;15:00;Palmeiras de Conceição da Barra U15;Palmeiras de Conceição da Barra U15;Linhares U15;Estádio Municipal Gastão Kock da Cunha;AGENDADO;Estádio Municipal Gastão Kock da Cunha;Conceição da Barra, ES, 29960-000;Conceição da Barra;Copa ES U15;1;;;
;03/10/2026;15:00;Audax São Mateus U15;Linhares U15;Audax São Mateus U15;CT Ninho da Coruja;AGENDADO;CT Ninho da Coruja;Rua, Av. Étore Pedroni - Três Barras, Linhares - ES, 29907-304;Linhares;Copa ES U15;1;;;
;03/10/2026;15:00;Ibiraçu U15;Ibiraçu U15;Linhares U15;Estádio Marcos José Campagnaro;AGENDADO;Estádio Marcos José Campagnaro;Profa. Ericina, Ibiraçu - ES, 29670-000;Ibiraçu;Copa ES U15;1;;;
